iter	Passed	Remaining
0	0	95
1	1	87
2	2	82
3	3	75
4	3	74
5	4	73
6	5	72
7	6	75
8	8	81
9	9	81
10	9	79
11	10	78
12	11	76
13	12	74
14	12	73
15	13	72
16	14	70
17	15	69
18	16	68
19	16	67
20	17	65
21	18	64
22	19	63
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	24	58
29	24	57
30	25	56
31	26	56
32	27	55
33	27	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	69	2
97	70	1
98	71	0
99	71	0
