iter	Passed	Remaining
0	165	165663
1	168	84134
2	169	56347
3	172	42945
4	174	34685
5	175	29074
6	176	25034
7	177	22020
8	178	19662
9	179	17781
10	180	16231
11	181	14936
12	183	13948
13	186	13109
14	187	12280
15	188	11583
16	189	10948
17	190	10373
18	190	9856
19	191	9391
20	192	8970
21	193	8611
22	194	8265
23	198	8056
24	200	7817
25	201	7555
26	203	7319
27	204	7084
28	204	6861
29	205	6653
30	206	6463
31	207	6287
32	212	6228
33	214	6081
34	217	5989
35	218	5845
36	219	5707
37	220	5592
38	222	5472
39	222	5346
40	223	5227
41	225	5134
42	226	5037
43	228	4965
44	230	4893
45	232	4816
46	233	4725
47	233	4638
48	234	4556
49	235	4474
50	239	4462
51	241	4409
52	243	4344
53	244	4279
54	245	4210
55	245	4142
56	246	4077
57	247	4014
58	247	3952
59	249	3902
60	249	3845
61	250	3789
62	251	3735
63	253	3703
64	254	3661
65	257	3647
66	259	3616
67	260	3573
68	261	3530
69	262	3486
70	263	3442
71	263	3400
72	264	3359
73	268	3360
74	271	3346
75	274	3332
76	275	3298
77	276	3262
78	276	3226
79	277	3191
80	278	3156
81	278	3121
82	284	3144
83	286	3122
84	288	3105
85	289	3076
86	290	3045
87	290	3015
88	291	2986
89	292	2956
90	293	2928
91	295	2913
92	297	2902
93	299	2884
94	300	2861
95	301	2838
96	302	2812
97	302	2787
98	303	2762
99	304	2738
100	304	2713
101	305	2691
102	307	2677
103	308	2654
104	311	2653
105	313	2642
106	315	2630
107	316	2612
108	317	2592
109	317	2572
110	318	2551
111	319	2532
112	320	2513
113	320	2494
114	321	2474
115	322	2460
116	323	2440
117	327	2445
118	328	2431
119	329	2415
120	330	2401
121	331	2384
122	332	2368
123	332	2352
124	333	2335
125	334	2319
126	335	2304
127	335	2288
128	336	2272
129	337	2256
130	337	2240
131	343	2258
132	344	2247
133	345	2234
134	346	2221
135	347	2207
136	348	2193
137	348	2179
138	349	2166
139	350	2153
140	352	2146
141	352	2132
142	363	2178
143	366	2177
144	367	2165
145	368	2154
146	374	2171
147	379	2182
148	380	2173
149	381	2160
150	382	2148
151	382	2135
152	383	2123
153	384	2111
154	390	2127
155	391	2116
156	392	2104
157	393	2095
158	393	2083
159	394	2072
160	395	2059
161	395	2047
162	396	2035
163	397	2027
164	398	2018
165	402	2020
166	404	2019
167	406	2011
168	406	2001
169	408	1992
170	408	1981
171	409	1971
172	410	1961
173	410	1950
174	412	1944
175	413	1936
176	414	1927
177	419	1936
178	420	1928
179	421	1918
180	421	1908
181	422	1898
182	423	1888
183	423	1879
184	424	1870
185	425	1862
186	426	1855
187	427	1848
188	428	1839
189	429	1830
190	432	1830
191	433	1823
192	433	1814
193	434	1805
194	435	1796
195	435	1787
196	436	1779
197	437	1770
198	437	1761
199	438	1753
200	438	1744
201	439	1736
202	440	1728
203	440	1720
204	441	1712
205	442	1704
206	442	1695
207	443	1688
208	444	1680
209	445	1676
210	446	1670
211	447	1663
212	448	1656
213	448	1648
214	449	1641
215	450	1633
216	450	1626
217	451	1618
218	451	1611
219	452	1604
220	453	1597
221	453	1590
222	454	1583
223	455	1576
224	455	1569
225	456	1563
226	457	1556
227	457	1550
228	458	1544
229	460	1540
230	462	1540
231	464	1536
232	465	1531
233	466	1528
234	467	1523
235	468	1517
236	469	1512
237	470	1506
238	471	1500
239	472	1496
240	473	1491
241	476	1493
242	478	1489
243	478	1484
244	480	1479
245	481	1474
246	481	1469
247	482	1463
248	483	1457
249	484	1453
250	485	1448
251	485	1442
252	486	1436
253	487	1430
254	488	1425
255	489	1422
256	490	1418
257	491	1412
258	491	1407
259	492	1401
260	493	1396
261	493	1390
262	494	1385
263	495	1380
264	495	1374
265	496	1369
266	497	1364
267	497	1359
268	498	1354
269	499	1349
270	499	1344
271	500	1339
272	501	1334
273	501	1329
274	502	1324
275	503	1319
276	504	1316
277	505	1312
278	505	1307
279	506	1302
280	507	1297
281	507	1292
282	508	1287
283	508	1283
284	509	1278
285	510	1273
286	510	1269
287	511	1264
288	512	1260
289	512	1255
290	513	1251
291	514	1246
292	514	1242
293	515	1237
294	516	1233
295	516	1229
296	517	1225
297	519	1224
298	520	1220
299	521	1216
300	522	1212
301	522	1208
302	523	1203
303	523	1199
304	524	1195
305	525	1191
306	526	1187
307	526	1183
308	527	1179
309	527	1174
310	528	1170
311	529	1166
312	529	1162
313	530	1158
314	530	1154
315	531	1150
316	532	1146
317	533	1143
318	534	1140
319	534	1136
320	535	1132
321	535	1128
322	536	1124
323	537	1120
324	537	1117
325	538	1113
326	539	1109
327	539	1106
328	540	1102
329	541	1098
330	541	1094
331	542	1091
332	542	1087
333	543	1083
334	544	1080
335	544	1076
336	545	1072
337	546	1069
338	546	1065
339	547	1062
340	548	1060
341	550	1058
342	551	1055
343	552	1052
344	553	1050
345	553	1047
346	554	1043
347	555	1040
348	556	1037
349	556	1034
350	557	1031
351	558	1028
352	559	1025
353	560	1021
354	560	1018
355	561	1015
356	561	1011
357	564	1012
358	566	1010
359	567	1008
360	567	1005
361	568	1002
362	569	999
363	570	996
364	571	993
365	571	990
366	572	987
367	573	984
368	574	982
369	575	979
370	575	976
371	576	973
372	578	971
373	580	972
374	582	970
375	583	967
376	583	964
377	584	961
378	585	958
379	585	955
380	586	952
381	587	949
382	587	946
383	588	943
384	588	940
385	589	937
386	590	935
387	591	932
388	594	933
389	595	931
390	596	928
391	597	925
392	597	923
393	598	920
394	598	917
395	599	914
396	600	911
397	600	908
398	601	905
399	602	903
400	602	900
401	603	897
402	603	894
403	604	891
404	605	888
405	605	886
406	606	883
407	608	883
408	609	881
409	610	878
410	611	876
411	612	873
412	612	871
413	613	868
414	614	865
415	614	862
416	615	860
417	615	857
418	616	854
419	617	852
420	617	849
421	618	847
422	619	844
423	619	841
424	620	839
425	620	836
426	622	835
427	624	833
428	625	831
429	625	829
430	626	827
431	627	824
432	627	822
433	628	819
434	629	817
435	629	814
436	630	812
437	631	809
438	631	807
439	632	804
440	632	802
441	633	799
442	634	797
443	634	794
444	635	792
445	636	790
446	638	790
447	639	788
448	640	785
449	641	783
450	641	781
451	642	778
452	643	776
453	643	774
454	644	771
455	644	769
456	645	767
457	646	764
458	646	762
459	647	760
460	648	757
461	648	755
462	649	753
463	649	750
464	650	748
465	652	747
466	653	745
467	654	743
468	654	741
469	655	739
470	656	737
471	657	735
472	658	733
473	658	731
474	659	728
475	660	726
476	660	724
477	661	722
478	661	719
479	662	717
480	663	715
481	663	713
482	664	711
483	664	708
484	667	708
485	667	706
486	668	704
487	669	702
488	670	700
489	670	698
490	671	696
491	672	693
492	672	691
493	673	689
494	673	687
495	674	685
496	675	683
497	675	681
498	676	679
499	677	677
500	677	674
501	678	672
502	679	671
503	680	670
504	681	668
505	682	666
506	682	664
507	683	662
508	684	659
509	684	657
510	685	655
511	686	653
512	686	651
513	687	649
514	688	647
515	688	645
516	689	643
517	689	641
518	690	639
519	691	637
520	691	635
521	692	633
522	693	632
523	694	631
524	695	629
525	696	627
526	696	625
527	697	623
528	698	621
529	698	619
530	699	617
531	700	615
532	700	613
533	701	611
534	701	610
535	702	608
536	703	606
537	703	604
538	704	602
539	704	600
540	705	598
541	706	596
542	706	594
543	707	593
544	708	591
545	710	590
546	711	588
547	711	587
548	712	585
549	712	583
550	713	581
551	714	579
552	715	578
553	715	576
554	716	574
555	717	572
556	717	570
557	718	569
558	719	567
559	719	565
560	720	563
561	721	561
562	722	561
563	726	561
564	727	560
565	729	559
566	730	557
567	731	556
568	731	554
569	732	552
570	733	550
571	733	549
572	734	547
573	735	545
574	735	543
575	737	542
576	737	540
577	740	540
578	741	539
579	742	537
580	742	535
581	743	534
582	744	532
583	744	530
584	745	528
585	746	527
586	746	525
587	747	523
588	748	522
589	748	520
590	749	518
591	750	517
592	751	515
593	751	513
594	752	512
595	753	510
596	755	509
597	756	508
598	756	506
599	757	505
600	758	503
601	758	501
602	759	500
603	760	498
604	761	497
605	762	496
606	765	495
607	767	495
608	771	495
609	772	493
610	773	492
611	775	491
612	776	490
613	777	489
614	778	487
615	779	486
616	780	484
617	781	483
618	783	481
619	785	481
620	786	480
621	787	478
622	788	477
623	791	476
624	792	475
625	793	474
626	794	472
627	798	473
